[2025-01-18 21:28:47] This is codeql dataset import -J-Xmx6858M --verbosity=progress --logdir=/mnt/c/GitHub/SpeQL/database/azure-api-db/log --dbscheme=/usr/local/codeql/javascript/semmlecode.javascript.dbscheme --threads=12 -- /mnt/c/GitHub/SpeQL/database/azure-api-db/db-javascript /mnt/c/GitHub/SpeQL/database/azure-api-db/trap/javascript
[2025-01-18 21:28:47] Clearing disk cache since the version file /mnt/c/GitHub/SpeQL/database/azure-api-db/db-javascript/default/cache/version does not exist
[2025-01-18 21:28:47] Tuple pool not found. Clearing relations with cached strings
[2025-01-18 21:28:47] Trimming disk cache at /mnt/c/GitHub/SpeQL/database/azure-api-db/db-javascript/default/cache in mode clear.
[2025-01-18 21:28:47] Sequence stamp origin is -6092515357382079983
[2025-01-18 21:28:52] Importing WorkflowRunActions_ListExpressionTraces.json.trap.gz (69 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunOperations_Get.json.trap.gz (70 of 310)
[2025-01-18 21:28:52] Importing WorkflowRuns_Cancel.json.trap.gz (71 of 310)
[2025-01-18 21:28:52] Importing WorkflowRuns_Delete.json.trap.gz (72 of 310)
[2025-01-18 21:28:52] Importing WorkflowRuns_Get.json.trap.gz (73 of 310)
[2025-01-18 21:28:52] Importing WorkflowRuns_List.json.trap.gz (74 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggerHistories_Get.json.trap.gz (75 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggerHistories_List.json.trap.gz (76 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggerHistories_Resubmit.json.trap.gz (77 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggers_Get.json.trap.gz (78 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggers_ListCallbackUrl.json.trap.gz (81 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggers_List.json.trap.gz (80 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggers_GetSchemaJson.json.trap.gz (79 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggers_Reset.json.trap.gz (82 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggers_Run.json.trap.gz (83 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggers_SetState.json.trap.gz (84 of 310)
[2025-01-18 21:28:52] Importing WorkflowVersionTriggers_ListCallbackUrl.json.trap.gz (85 of 310)
[2025-01-18 21:28:52] Importing WorkflowVersions_Get.json.trap.gz (86 of 310)
[2025-01-18 21:28:52] Importing WorkflowVersions_List.json.trap.gz (87 of 310)
[2025-01-18 21:28:52] Importing Workflows_CreateOrUpdate.json.trap.gz (88 of 310)
[2025-01-18 21:28:52] Importing Workflows_Delete.json.trap.gz (89 of 310)
[2025-01-18 21:28:52] Importing Workflows_Disable.json.trap.gz (90 of 310)
[2025-01-18 21:28:52] Importing Workflows_Enable.json.trap.gz (91 of 310)
[2025-01-18 21:28:52] Importing Workflows_GenerateUpgradedDefinition.json.trap.gz (92 of 310)
[2025-01-18 21:28:52] Importing Workflows_Get.json.trap.gz (93 of 310)
[2025-01-18 21:28:52] Importing Workflows_ListByResourceGroup.json.trap.gz (94 of 310)
[2025-01-18 21:28:52] Importing Workflows_ListBySubscription.json.trap.gz (95 of 310)
[2025-01-18 21:28:52] Importing Workflows_ListCallbackUrl.json.trap.gz (96 of 310)
[2025-01-18 21:28:52] Importing Workflows_ListSwagger.json.trap.gz (97 of 310)
[2025-01-18 21:28:52] Importing Workflows_RegenerateAccessKey.json.trap.gz (98 of 310)
[2025-01-18 21:28:52] Importing Workflows_Move.json.trap.gz (99 of 310)
[2025-01-18 21:28:52] Importing Workflows_Update.json.trap.gz (100 of 310)
[2025-01-18 21:28:52] Importing Workflows_ValidateByLocation.json.trap.gz (101 of 310)
[2025-01-18 21:28:52] Importing Workflows_ValidateByResourceGroup.json.trap.gz (102 of 310)
[2025-01-18 21:28:52] Importing logic.json.trap.gz (103 of 310)
[2025-01-18 21:28:52] Importing AgreementsCreateOrUpdate.json.trap.gz (104 of 310)
[2025-01-18 21:28:52] Importing AgreementsGet.json.trap.gz (106 of 310)
[2025-01-18 21:28:52] Importing AgreementsDelete.json.trap.gz (105 of 310)
[2025-01-18 21:28:52] Importing AgreementsList.json.trap.gz (107 of 310)
[2025-01-18 21:28:52] Importing CertificatesCreateOrUpdate.json.trap.gz (109 of 310)
[2025-01-18 21:28:52] Importing AgreementsListContentCallbackUrl.json.trap.gz (108 of 310)
[2025-01-18 21:28:52] Importing CertificatesDelete.json.trap.gz (110 of 310)
[2025-01-18 21:28:52] Importing CertificatesList.json.trap.gz (112 of 310)
[2025-01-18 21:28:52] Importing CertificatesGet.json.trap.gz (111 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAssembliesCreateOrUpdate.json.trap.gz (113 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAssembliesDelete.json.trap.gz (114 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAssembliesGet.json.trap.gz (115 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAssembliesList.json.trap.gz (116 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAssembliesListContentCallbackUrl.json.trap.gz (117 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountBatchConfigurationsDelete.json.trap.gz (119 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountBatchConfigurationsCreateOrUpdate.json.trap.gz (118 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountBatchConfigurationsGet.json.trap.gz (120 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountBatchConfigurationsList.json.trap.gz (121 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountsCreateOrUpdate.json.trap.gz (122 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountsDelete.json.trap.gz (123 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountsGet.json.trap.gz (124 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountsGetCallbackUrl.json.trap.gz (125 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountsListByResourceGroup.json.trap.gz (126 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountsListKeyVaultKeys.json.trap.gz (127 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountsListBySubscription.json.trap.gz (128 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountsLogTrackingEvent.json.trap.gz (129 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountsRegenerateAccessKey.json.trap.gz (130 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountsUpdate.json.trap.gz (131 of 310)
[2025-01-18 21:28:52] Importing MapsCreateOrUpdate.json.trap.gz (132 of 310)
[2025-01-18 21:28:52] Importing MapsDelete.json.trap.gz (133 of 310)
[2025-01-18 21:28:52] Importing MapsGet.json.trap.gz (134 of 310)
[2025-01-18 21:28:52] Importing MapsList.json.trap.gz (135 of 310)
[2025-01-18 21:28:52] Importing MapsListContentCallbackUrl.json.trap.gz (136 of 310)
[2025-01-18 21:28:52] Importing OperationsList.json.trap.gz (137 of 310)
[2025-01-18 21:28:52] Importing PartnersDelete.json.trap.gz (138 of 310)
[2025-01-18 21:28:52] Importing PartnersCreateOrUpdate.json.trap.gz (139 of 310)
[2025-01-18 21:28:52] Importing PartnersGet.json.trap.gz (140 of 310)
[2025-01-18 21:28:52] Importing PartnersList.json.trap.gz (141 of 310)
[2025-01-18 21:28:52] Importing PartnersListContentCallbackUrl.json.trap.gz (142 of 310)
[2025-01-18 21:28:52] Importing RosettaNetProcessConfigurationsCreateOrUpdate.json.trap.gz (143 of 310)
[2025-01-18 21:28:52] Importing RosettaNetProcessConfigurationsDelete.json.trap.gz (144 of 310)
[2025-01-18 21:28:52] Importing RosettaNetProcessConfigurationsGet.json.trap.gz (145 of 310)
[2025-01-18 21:28:52] Importing RosettaNetProcessConfigurationsListByIntegrationAccounts.json.trap.gz (146 of 310)
[2025-01-18 21:28:52] Importing SchemasDelete.json.trap.gz (148 of 310)
[2025-01-18 21:28:52] Importing SchemasCreateOrUpdate.json.trap.gz (147 of 310)
[2025-01-18 21:28:52] Importing SchemasGet.json.trap.gz (149 of 310)
[2025-01-18 21:28:52] Importing SchemasList.json.trap.gz (150 of 310)
[2025-01-18 21:28:52] Importing SchemasListContentCallbackUrl.json.trap.gz (151 of 310)
[2025-01-18 21:28:52] Importing SessionsCreateOrUpdate.json.trap.gz (152 of 310)
[2025-01-18 21:28:52] Importing SessionsDelete.json.trap.gz (153 of 310)
[2025-01-18 21:28:52] Importing SessionsList.json.trap.gz (154 of 310)
[2025-01-18 21:28:52] Importing SessionsGet.json.trap.gz (155 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionRepetitionsGet.json.trap.gz (156 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionRepetitionsList.json.trap.gz (157 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionRepetitionsRequestHistories_Get.json.trap.gz (159 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionRepetitionsListExpressionTraces.json.trap.gz (158 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionRepetitionsRequestHistories_List.json.trap.gz (160 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionRequestHistories_Get.json.trap.gz (161 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionRequestHistories_List.json.trap.gz (162 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionScopeRepetitionsGet.json.trap.gz (163 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionScopeRepetitionsList.json.trap.gz (164 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionsGet.json.trap.gz (165 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionsList.json.trap.gz (166 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunActionsListExpressionTraces.json.trap.gz (167 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunOperationsGet.json.trap.gz (168 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunsGet.json.trap.gz (170 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunsCancel.json.trap.gz (169 of 310)
[2025-01-18 21:28:52] Importing WorkflowRunsList.json.trap.gz (171 of 310)
[2025-01-18 21:28:52] Importing WorkflowRuns_Delete.json.trap.gz (172 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggerHistoriesGet.json.trap.gz (173 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggerHistoriesList.json.trap.gz (174 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggerHistoriesResubmit.json.trap.gz (175 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggersGet.json.trap.gz (176 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggersGetSchemaJson.json.trap.gz (177 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggersList.json.trap.gz (178 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggersReset.json.trap.gz (180 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggersListCallbackUrl.json.trap.gz (179 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggersRun.json.trap.gz (181 of 310)
[2025-01-18 21:28:52] Importing WorkflowTriggersSetState.json.trap.gz (182 of 310)
[2025-01-18 21:28:52] Importing WorkflowVersionsGet.json.trap.gz (183 of 310)
[2025-01-18 21:28:52] Importing WorkflowVersionsList.json.trap.gz (184 of 310)
[2025-01-18 21:28:52] Importing WorkflowVersionsTriggersListCallbackUrl.json.trap.gz (185 of 310)
[2025-01-18 21:28:52] Importing WorkflowsCreateOrUpdate.json.trap.gz (186 of 310)
[2025-01-18 21:28:52] Importing WorkflowsDelete.json.trap.gz (187 of 310)
[2025-01-18 21:28:52] Importing WorkflowsDisable.json.trap.gz (188 of 310)
[2025-01-18 21:28:52] Importing WorkflowsEnable.json.trap.gz (189 of 310)
[2025-01-18 21:28:52] Importing WorkflowsGenerateUpgradedDefinition.json.trap.gz (190 of 310)
[2025-01-18 21:28:52] Importing WorkflowsGet.json.trap.gz (191 of 310)
[2025-01-18 21:28:52] Importing WorkflowsListByResourceGroup.json.trap.gz (192 of 310)
[2025-01-18 21:28:52] Importing WorkflowsListBySubscription.json.trap.gz (193 of 310)
[2025-01-18 21:28:52] Importing WorkflowsListCallbackUrl.json.trap.gz (194 of 310)
[2025-01-18 21:28:52] Importing WorkflowsListSwagger.json.trap.gz (195 of 310)
[2025-01-18 21:28:52] Importing WorkflowsMove.json.trap.gz (196 of 310)
[2025-01-18 21:28:52] Importing WorkflowsRegenerateAccessKey.json.trap.gz (197 of 310)
[2025-01-18 21:28:52] Importing WorkflowsUpdate.json.trap.gz (198 of 310)
[2025-01-18 21:28:52] Importing WorkflowsValidateByLocation.json.trap.gz (199 of 310)
[2025-01-18 21:28:52] Importing WorkflowsValidateByResourceGroup.json.trap.gz (200 of 310)
[2025-01-18 21:28:52] Importing logic.json.trap.gz (201 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAgreements_CreateOrUpdate.json.trap.gz (202 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAgreements_Delete.json.trap.gz (203 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAgreements_Get.json.trap.gz (204 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAgreements_List.json.trap.gz (205 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAgreements_ListContentCallbackUrl.json.trap.gz (206 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAssemblies_CreateOrUpdate.json.trap.gz (207 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAssemblies_Delete.json.trap.gz (208 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAssemblies_Get.json.trap.gz (209 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAssemblies_List.json.trap.gz (210 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountAssemblies_ListContentCallbackUrl.json.trap.gz (211 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountBatchConfigurations_CreateOrUpdate.json.trap.gz (212 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountBatchConfigurations_Delete.json.trap.gz (213 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountBatchConfigurations_Get.json.trap.gz (214 of 310)
[2025-01-18 21:28:52] Importing IntegrationAccountBatchConfigurations_List.json.trap.gz (215 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountCertificates_CreateOrUpdate.json.trap.gz (216 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountCertificates_Delete.json.trap.gz (217 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountCertificates_Get.json.trap.gz (218 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountCertificates_List.json.trap.gz (219 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountLargeMaps_CreateOrUpdate.json.trap.gz (220 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountMaps_CreateOrUpdate.json.trap.gz (221 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountMaps_Get.json.trap.gz (223 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountMaps_Delete.json.trap.gz (222 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountMaps_List.json.trap.gz (224 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountMaps_ListContentCallbackUrl.json.trap.gz (225 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountPartners_CreateOrUpdate.json.trap.gz (226 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountPartners_Delete.json.trap.gz (227 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountPartners_Get.json.trap.gz (228 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountPartners_List.json.trap.gz (229 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountPartners_ListContentCallbackUrl.json.trap.gz (230 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountSchemas_CreateOrUpdate.json.trap.gz (231 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountSchemas_Delete.json.trap.gz (232 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountSchemas_Get.json.trap.gz (233 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountSchemas_List.json.trap.gz (234 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountSchemas_ListContentCallbackUrl.json.trap.gz (235 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountSessions_CreateOrUpdate.json.trap.gz (236 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountSessions_Delete.json.trap.gz (237 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountSessions_Get.json.trap.gz (238 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccountSessions_List.json.trap.gz (239 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccounts_CreateOrUpdate.json.trap.gz (240 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccounts_Delete.json.trap.gz (241 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccounts_Get.json.trap.gz (242 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccounts_ListByResourceGroup.json.trap.gz (243 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccounts_ListBySubscription.json.trap.gz (244 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccounts_ListCallbackUrl.json.trap.gz (245 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccounts_ListKeyVaultKeys.json.trap.gz (246 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccounts_LogTrackingEvents.json.trap.gz (247 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccounts_RegenerateAccessKey.json.trap.gz (248 of 310)
[2025-01-18 21:28:53] Importing IntegrationAccounts_Update.json.trap.gz (249 of 310)
[2025-01-18 21:28:53] Importing IntegrationServiceEnvironments_Delete.json.trap.gz (250 of 310)
[2025-01-18 21:28:53] Importing IntegrationServiceEnvironments_ListByResourceGroup.json.trap.gz (252 of 310)
[2025-01-18 21:28:53] Importing IntegrationServiceEnvironments_Get.json.trap.gz (251 of 310)
[2025-01-18 21:28:53] Importing IntegrationServiceEnvironments_ListBySubscription.json.trap.gz (253 of 310)
[2025-01-18 21:28:53] Importing IntegrationServiceEnvironments_ManagedApis_Delete.json.trap.gz (254 of 310)
[2025-01-18 21:28:53] Importing IntegrationServiceEnvironments_ManagedApis_Get.json.trap.gz (255 of 310)
[2025-01-18 21:28:53] Importing IntegrationServiceEnvironments_ManagedApis_List.json.trap.gz (256 of 310)
[2025-01-18 21:28:53] Importing IntegrationServiceEnvironments_ManagedApis_ListApiOperations.json.trap.gz (257 of 310)
[2025-01-18 21:28:53] Importing IntegrationServiceEnvironments_ManagedApis_Put.json.trap.gz (258 of 310)
[2025-01-18 21:28:53] Importing IntegrationServiceEnvironments_NetworkHealth.json.trap.gz (259 of 310)
[2025-01-18 21:28:53] Importing IntegrationServiceEnvironments_Patch.json.trap.gz (260 of 310)
[2025-01-18 21:28:53] Importing IntegrationServiceEnvironments_Put.json.trap.gz (261 of 310)
[2025-01-18 21:28:53] Importing IntegrationServiceEnvironments_Restart.json.trap.gz (262 of 310)
[2025-01-18 21:28:53] Importing IntegrationServiceEnvironments_Skus.json.trap.gz (263 of 310)
[2025-01-18 21:28:53] Importing Operations_List.json.trap.gz (264 of 310)
[2025-01-18 21:28:53] Importing WorkflowRunActionRepetitionsRequestHistories_Get.json.trap.gz (265 of 310)
